% Model:              2016.06.22 - temiska-2.mph
% Version:            COMSOL 5.1.0.136
% Date:               Sep 24 2016, 13:23
% Dimension:          2
% Nodes:              708
% Expressions:        2
% Description:        Arrow surface
% cpl1x                   cpl1y                    VectorX                  VectorY
-40.07808449217088        -38.66666666666668       2.1947473723590484E-5    -2.159600108505074E-5
-37.311417825504215       -38.66666666666668       1.6662494410157262E-4    -5.824802248432476E-5
-34.54475115883754        -38.66666666666668       0.0025244409991182467    -1.6185865364546064E-4
-31.778084492170876       -38.66666666666668       0.0029215197556491054    9.605037456949738E-6
-29.01141782550421        -38.66666666666668       0.002804199036739161     -8.44381718168142E-6
-26.244751158837545       -38.66666666666668       0.0029377183761595716    6.794051932713907E-6
-23.478084492170872       -38.66666666666668       0.002836937704573188     -1.9844122415425956E-6
-20.711417825504206       -38.66666666666668       0.002931227238585576     8.252310792513609E-6
-17.94475115883754        -38.66666666666668       0.002833871854008409     -2.418997858566182E-6
-15.178084492170871       -38.66666666666668       0.002885985379126138     -1.0479874741283596E-6
-12.411417825504206       -38.66666666666668       0.0028814038306791833    -6.4138247396264516E-6
-9.644751158837536        -38.66666666666668       0.0029179476459399974    -7.978793903673808E-6
-6.8780844921708635       -38.66666666666668       0.002909079440422297     -1.6048893698506254E-5
-4.111417825504198        -38.66666666666668       0.002858166452279833     -2.1152168377638286E-6
-1.344751158837532        -38.66666666666668       0.002904553488867972     8.45662040577491E-6
1.4219155078291337        -38.66666666666668       0.0028864415801413026    5.849309588108072E-6
4.188582174495799         -38.66666666666668       0.0028659446373062005    3.7959907751434093E-6
6.955248841162472         -38.66666666666668       0.002863376118816982     -4.578324346229357E-6
9.721915507829138         -38.66666666666668       0.0029308544548598864    -1.9340458337373085E-6
12.488582174495804        -38.66666666666668       0.0028623218936716177    4.63424631585762E-6
15.25524884116247         -38.66666666666668       0.0028469722095701613    -8.511096638262309E-6
18.021915507829135        -38.66666666666668       0.0028934911253449065    -1.8155282132660433E-5
20.788582174495808        -38.66666666666668       0.002955068528617275     -1.6442848329312003E-5
23.555248841162474        -38.66666666666668       0.0029376691432474416    7.4745065888282415E-6
26.321915507829154        -38.66666666666668       0.00286658366996782      -1.707462395461346E-7
29.08858217449582         -38.66666666666668       0.002776297788806244     8.619107174535089E-6
31.855248841162485        -38.66666666666668       0.0029087616644930883    1.2636145019520962E-5
34.62191550782914         -38.66666666666668       0.0023408414532057214    1.37939457165658E-4
37.388582174495816        -38.66666666666668       1.6053336446708182E-4    7.211392328306447E-5
40.15524884116248         -38.66666666666668       2.3611677226784754E-5    2.54293648418458E-5
-40.07808449217088        -36.000000000000014      1.555136337133878E-5     -8.578859230936498E-5
-37.311417825504215       -36.000000000000014      7.51330766249185E-5      -1.5435380608126343E-4
-34.54475115883754        -36.000000000000014      2.120109696275493E-6     -7.159929322273181E-5
34.62191550782914         -36.000000000000014      -2.199512535955328E-6    -6.7650204772674025E-6
37.388582174495816        -36.000000000000014      2.5888469368543507E-5    1.5729730658608273E-4
40.15524884116248         -36.000000000000014      1.2945745969033119E-5    1.1232357817308963E-4
-40.07808449217088        -33.33333333333334       5.157864035052744E-6     -1.1558206624000444E-4
-37.311417825504215       -33.33333333333334       1.6002320369504166E-5    -1.5510509046075954E-4
-34.54475115883754        -33.33333333333334       -6.226797171600644E-8    -2.783312332969915E-5
34.62191550782914         -33.33333333333334       -1.0316592234689454E-7   2.4644440321702077E-5
37.388582174495816        -33.33333333333334       -5.045584624619832E-6    1.484373054462136E-4
40.15524884116248         -33.33333333333334       -4.914976505876838E-7    1.3220473175730064E-4
-40.07808449217088        -30.66666666666668       1.4830209750971958E-6    -1.235222156928721E-4
-37.311417825504215       -30.66666666666668       4.059365384859638E-6     -1.5153470540591976E-4
-34.54475115883754        -30.66666666666668       1.1932943016364123E-7    -2.6300062088190396E-5
34.62191550782914         -30.66666666666668       -1.5887018738875504E-7   2.727994336929021E-5
37.388582174495816        -30.66666666666668       -1.806881914591491E-6    1.475673512963287E-4
40.15524884116248         -30.66666666666668       -1.1348756676246706E-6   1.3013957133021074E-4
-40.07808449217088        -28.000000000000007      1.2424629108205582E-6    -1.2804825131167732E-4
-37.311417825504215       -28.000000000000007      2.8883955688223938E-6    -1.5007476366344085E-4
-34.54475115883754        -28.000000000000007      1.722750358716397E-7     -1.9576150421405197E-5
34.62191550782914         -28.000000000000007      -1.571691772346524E-8    2.349238218846119E-5
37.388582174495816        -28.000000000000007      3.8543911475498346E-6    1.489297693347503E-4
40.15524884116248         -28.000000000000007      8.932229530981308E-7     1.295777403345458E-4
-40.07808449217088        -25.333333333333343      2.492626829024457E-6     -1.3395188205022693E-4
-37.311417825504215       -25.333333333333343      1.6017508605450835E-5    -1.5483592243388658E-4
-34.54475115883754        -25.333333333333343      3.9459101758626916E-4    -2.7527633140444857E-5
-31.778084492170876       -25.333333333333343      9.520810838628342E-4     -1.6909557305217603E-5
-29.01141782550421        -25.333333333333343      0.001760756079282225     -2.7070291936462916E-6
-26.244751158837545       -25.333333333333343      0.001730241509802637     -1.4800801051657334E-6
-23.478084492170872       -25.333333333333343      0.0017404018917745205    1.5139025348995042E-6
-20.711417825504206       -25.333333333333343      0.0017395126305329426    1.723272235179801E-6
-17.94475115883754        -25.333333333333343      0.001735937492480317     1.6796727630541766E-6
-15.178084492170871       -25.333333333333343      0.0017222887470725895    4.873259180832149E-6
-12.411417825504206       -25.333333333333343      0.0017380341473701268    4.298729190973035E-6
-9.644751158837536        -25.333333333333343      0.0017083833281672366    5.416664766974756E-6
